PCODE,name,Birthday,HeightWeight
60523,정훈,1987-07-18,180cm/85kg
61102,유강남,1992-07-15,182cm/88kg
62404,구자욱,1993-02-12,189cm/75kg
62415,박해민,1990-02-24,180cm/75kg
62700,하주석,1994-02-25,184cm/84kg
62895,한유섬,1989-08-09,190cm/105kg
62947,나성범,1989-10-03,183cm/100kg
63257,김인태,1994-07-03,178cm/78kg
64166,배정대,1995-06-12,185cm/80kg
64868,조용호,1989-09-09,170cm/75kg
66108,홍창기,1993-11-21,189cm/94kg
66606,최원준,1997-03-23,178cm/85kg
67304,김혜성,1999-01-27,179cm/78kg
67341,이정후,1998-08-20,185cm/78kg
67872,로맥,1985-09-30,188cm/100kg
68050,강백호,1999-07-29,184cm/98kg
68743,정은원,2000-01-17,177cm/78kg
74163,이용규,1985-08-26,175cm/70kg
74540,강민호,1985-08-18,185cm/100kg
75125,박병호,1986-07-10,185cm/107kg
75566,이원석,1986-10-21,182cm/82kg
75847,최정,1987-02-28,180cm/90kg
76232,양의지,1987-06-05,179cm/85kg
76290,김현수,1988-01-12,188cm/100kg
76849,이명기,1987-12-26,183cm/87kg
77532,손아섭,1988-03-18,174cm/84kg
77564,김민성,1988-12-17,181cm/94kg
78168,서건창,1989-08-22,176cm/84kg
78224,김재환,1988-09-22,183cm/90kg
78513,전준우,1986-02-25,184cm/97kg
78603,김선빈,1989-12-18,165cm/77kg
79109,오지환,1990-03-12,186cm/80kg
79192,채은성,1990-02-06,186cm/92kg
79215,박건우,1990-09-08,184cm/80kg
79240,허경민,1990-08-26,176cm/69kg
79402,김상수,1990-03-23,175cm/68kg
